,Name,Position,Age,Height,FG%,3P%,AST,TOV,PTS,Tm,Rebounds,STL,BLK,Overall,PERSON_ID
336,Mychal Mulder,SG,27,"6' 3""",0.299,0.283,0.2,0.5,3.7,ORL,1.4000000000000001,0.3,0.1,26.220968092033857,
337,Mychal Mulder,SG,27,"6' 3""",0.4,0.5,1.0,0.0,7.0,MIA,1.5,0.0,0.5,42.326893857173864,
338,Gary Payton II,PG,28,"6' 3""",0.616,0.358,0.9,0.6,7.1,GSW,3.5,1.4,0.3,50.705448230952896,1627780.0
339,Jordan Poole,SG,22,"6' 4""",0.448,0.364,4.0,2.5,18.5,GSW,3.4,0.8,0.3,62.47015411330583,
340,Otto Porter Jr.,SF,28,"6' 8""",0.464,0.37,1.5,0.6,8.2,GSW,5.800000000000001,1.1,0.5,50.813978728022576,203490.0
341,Klay Thompson,SG,31,"6' 6""",0.429,0.385,2.8,1.3,20.4,GSW,3.9,0.5,0.5,62.20968092033862,202691.0
342,Juan Toscano-Anderson,SF,28,"6' 6""",0.489,0.322,1.7,0.9,4.1,GSW,2.4,0.7,0.2,40.08031256783156,
343,Andrew Wiggins,SF,26,"6' 7""",0.466,0.393,2.2,1.5,17.2,GSW,4.5,1.0,0.7,61.82982418059475,203952.0
344,Nicolas Batum,PF,32,"6' 8""",0.463,0.4,1.7,0.7,8.3,LAC,4.3,1.0,0.7,50.99848057304103,201587.0
345,Eric Bledsoe,SG,31,"6' 1""",0.421,0.313,4.2,2.1,9.9,LAC,3.4,1.3,0.4,52.9845886694161,202339.0
346,Amir Coffey,SG,24,"6' 7""",0.453,0.378,1.8,0.7,9.0,LAC,2.9,0.6,0.2,46.48361189494248,
347,DeMarcus Cousins,C,31,"6' 10""",0.46,0.303,1.5,1.8,9.0,TOT,5.6,0.7,0.4,47.52550466681137,202326.0
348,DeMarcus Cousins,C,31,"6' 10""",0.466,0.271,1.1,0.9,9.1,MIL,5.800000000000001,0.9,0.5,47.1130887779466,202326.0
349,DeMarcus Cousins,C,31,"6' 10""",0.456,0.324,1.7,2.2,8.9,DEN,5.5,0.6,0.4,47.97047970479705,202326.0
350,Paul George,SG,31,"6' 8""",0.421,0.354,5.7,4.1,24.3,LAC,6.9,2.2,0.4,79.93271109181681,202331.0
351,Serge Ibaka,C,31,"6' 10""",0.5,0.374,0.9,0.8,6.8,TOT,4.6,0.2,0.6,45.38745387453875,201586.0
352,Serge Ibaka,C,31,"6' 10""",0.49,0.387,1.0,0.9,6.6,LAC,4.2,0.2,0.7,45.37660082483178,201586.0
353,Serge Ibaka,C,31,"6' 10""",0.519,0.351,0.7,0.5,7.0,MIL,5.3,0.2,0.4,45.14868678098546,201586.0
354,Reggie Jackson,PG,31,"6' 2""",0.392,0.326,4.8,2.3,16.8,LAC,3.6,0.7,0.2,58.86694161059258,202704.0
355,Keon Johnson,SG,19,"6' 5""",0.353,0.34,2.1,1.2,7.2,TOT,2.1,0.8,0.3,40.79661384849143,
356,Keon Johnson,SG,19,"6' 5""",0.333,0.273,0.9,0.5,3.5,LAC,1.4,0.5,0.1,28.95593661818971,
357,Keon Johnson,SG,19,"6' 5""",0.357,0.348,2.9,1.8,9.7,POR,2.7,1.0,0.5,47.59062296505318,
358,Luke Kennard,SG,25,"6' 5""",0.449,0.449,2.1,0.9,11.9,LAC,3.3,0.6,0.1,52.57217278055133,1628379.0
359,Terance Mann,SG,24,"6' 5""",0.484,0.365,2.6,1.0,10.8,LAC,5.3,0.7,0.3,54.01562839157803,
360,Jay Scrubb,SG,21,"6' 5""",0.391,0.286,0.4,0.4,2.7,LAC,0.9,0.2,0.2,28.120251790753205,
361,Justise Winslow,PF,25,"6' 6""",0.428,0.227,1.8,1.0,5.7,TOT,4.2,0.7,0.5,39.88495767310614,1626159.0
362,Justise Winslow,PF,25,"6' 6""",0.447,0.172,1.4,1.0,4.2,LAC,3.5999999999999996,0.6,0.5,35.239852398523986,1626159.0
363,Justise Winslow,PF,25,"6' 6""",0.405,0.27,2.9,1.1,10.7,POR,6.3,1.3,0.6,52.90861732146733,1626159.0
364,Ivica Zubac,C,24,"7' 0""",0.626,0.0,1.6,1.5,10.3,LAC,8.5,0.5,1.0,49.14260907314956,1627826.0
365,Carmelo Anthony,PF,37,"6' 7""",0.441,0.375,1.0,0.9,13.3,LAL,4.2,0.7,0.8,52.61558497937921,2546.0
366,Trevor Ariza,SF,36,"6' 8""",0.333,0.27,1.1,0.5,4.0,LAL,3.4,0.5,0.3,32.656826568265686,2772.0
367,Kent Bazemore,SF,32,"6' 4""",0.324,0.363,0.9,0.5,3.4,LAL,1.7,0.6,0.2,32.46147167354026,203145.0
368,Devontae Cacok,PF,24,"6' 7""",0.677,0.0,0.4,0.2,3.1,SAS,2.8,0.5,0.5,32.570002170609946,
369,Anthony Davis,PF,28,"6' 10""",0.532,0.186,3.1,2.1,23.2,LAL,9.9,1.2,2.3,77.42565660950727,203076.0
370,Wayne Ellington,SG,33,"6' 4""",0.414,0.389,0.7,0.4,6.7,LAL,1.8,0.5,0.1,38.84306490123725,201961.0
371,Talen Horton-Tucker,SG,20,"6' 4""",0.416,0.269,2.7,1.4,10.0,LAL,3.2,1.0,0.5,47.373561970913826,
372,Dwight Howard,C,35,"6' 10""",0.612,0.533,0.6,0.8,6.2,LAL,6.0,0.6,0.6,55.730410245278925,2730.0
373,LeBron James,SF,36,"6' 9""",0.524,0.359,6.2,3.5,30.3,LAL,8.2,1.3,1.1,91.8059474712394,2544.0
374,Wesley Matthews,SG,34,"6' 4""",0.395,0.338,0.7,0.4,5.1,MIL,1.9,0.5,0.2,35.26155849793792,202083.0
375,Malik Monk,SG,23,"6' 3""",0.473,0.391,2.9,1.6,13.8,LAL,3.4,0.8,0.4,57.00021706099413,1628370.0
376,Rajon Rondo,PG,35,"6' 1""",0.386,0.352,4.4,1.7,4.8,TOT,2.8,0.8,0.2,45.08356848274365,200765.0
377,Rajon Rondo,PG,35,"6' 1""",0.324,0.267,3.7,1.9,3.1,LAL,2.8000000000000003,0.7,0.3,36.93292815281094,200765.0
378,Rajon Rondo,PG,35,"6' 1""",0.429,0.397,4.9,1.6,6.2,CLE,2.8000000000000003,0.9,0.0,50.22791404384631,200765.0
379,Russell Westbrook,PG,32,"6' 3""",0.444,0.298,7.1,3.8,18.5,LAL,7.4,1.0,0.3,71.91230735836768,201566.0
380,Devin Booker,SG,24,"6' 5""",0.466,0.383,4.8,2.4,26.8,PHO,5.1000000000000005,1.1,0.4,77.56674625569785,1626164.0
381,Mikal Bridges,SF,25,"6' 6""",0.534,0.369,2.3,0.8,14.2,PHO,4.2,1.2,0.4,59.57238984154547,1628969.0
382,Jae Crowder,PF,31,"6' 6""",0.399,0.348,1.9,0.8,9.4,PHO,5.2,1.4,0.4,50.151942695897546,203109.0
383,Langston Galloway,SG,29,"6' 1""",0.231,0.125,1.7,0.9,2.0,TOT,2.5,0.1,0.0,20.490557846754943,204038.0
384,Langston Galloway,SG,29,"6' 1""",0.385,0.25,1.3,1.3,3.0,BRK,2.1,0.0,0.0,29.031907966138487,204038.0
385,Langston Galloway,SG,29,"6' 1""",0.077,0.0,2.3,0.3,0.7,MIL,3.4000000000000004,0.3,0.0,12.925982200998481,204038.0
386,Chandler Hutchison,SF,25,"6' 6""",0.5,0.0,0.3,0.7,0.7,PHO,0.8,0.0,0.0,18.558714998914695,1628990.0
387,Cameron Johnson,SF,25,"6' 8""",0.46,0.425,1.5,0.7,12.5,PHO,4.1,0.9,0.2,53.66833080095507,
388,Frank Kaminsky,PF,28,"7' 0""",0.545,0.333,1.4,0.6,10.6,PHO,4.5,0.9,0.8,53.54894725417842,1626163.0
389,JaVale McGee,C,33,"7' 0""",0.629,0.222,0.6,1.3,9.2,PHO,6.7,0.3,1.1,50.82483177772954,201580.0
390,Abdel Nader,SF,27,"6' 5""",0.343,0.286,0.5,0.8,2.4,PHO,1.9000000000000001,0.6,0.3,29.162144562622096,1627846.0
391,Chris Paul,PG,36,"6' 0""",0.493,0.317,10.8,2.4,14.7,PHO,4.3,1.9,0.3,77.59930540481875,101108.0
392,Cameron Payne,PG,27,"6' 1""",0.409,0.336,4.9,1.8,10.8,PHO,3.0,0.7,0.3,53.125678315606685,1626166.0
393,Elfrid Payton,PG,27,"6' 3""",0.383,0.222,2.0,0.9,3.0,PHO,1.7000000000000002,0.5,0.1,31.093987410462336,203901.0
394,Landry Shamet,SG,24,"6' 4""",0.394,0.368,1.6,0.6,8.3,PHO,1.8,0.4,0.1,40.8725851964402,1629013.0
395,Jalen Smith,PF,21,"6' 10""",0.503,0.328,0.5,0.8,9.2,TOT,6.0,0.3,0.8,48.2200998480573,
396,Jalen Smith,PF,21,"6' 10""",0.46,0.231,0.2,0.8,6.0,PHO,4.8,0.2,0.6,37.25851964401997,
397,Jalen Smith,PF,21,"6' 10""",0.531,0.373,0.8,0.9,13.4,IND,7.6,0.4,1.0,58.519644019969604,
398,Marvin Bagley III,PF,22,"6' 11""",0.463,0.242,0.6,0.7,9.3,SAC,7.1000000000000005,0.3,0.4,44.33470805296288,1628963.0
399,Marvin Bagley III,PF,22,"6' 11""",0.555,0.229,1.1,1.0,14.6,DET,6.800000000000001,0.7,0.4,54.72107662253093,1628963.0
400,Harrison Barnes,SF,29,"6' 8""",0.469,0.394,2.4,1.5,16.4,SAC,5.6,0.7,0.2,60.11504232689385,203084.0
401,Terence Davis,SG,24,"6' 4""",0.423,0.329,1.3,1.1,10.4,SAC,3.1999999999999997,0.8,0.4,45.97351855871501,
402,De'Aaron Fox,PG,23,"6' 3""",0.473,0.297,5.6,2.8,23.2,SAC,3.9,1.2,0.4,71.8471890601259,1628368.0
403,Tyrese Haliburton,PG,21,"6' 5""",0.473,0.414,8.2,2.6,15.3,TOT,4.0,1.7,0.6,75.11395702192317,
404,Tyrese Haliburton,PG,21,"6' 5""",0.457,0.413,7.4,2.3,14.3,SAC,3.9000000000000004,1.7,0.7,71.95571955719558,
405,Tyrese Haliburton,PG,21,"6' 5""",0.502,0.416,9.6,3.2,17.5,IND,4.3,1.8,0.6,82.20099848057303,
406,Maurice Harkless,SF,28,"6' 7""",0.459,0.307,0.5,0.7,4.6,SAC,2.4,0.6,0.5,37.20425439548513,203090.0
407,Buddy Hield,SG,28,"6' 4""",0.406,0.366,2.8,1.9,15.6,TOT,4.3,0.9,0.3,56.71803776861297,1627741.0
408,Buddy Hield,SG,28,"6' 4""",0.382,0.368,1.9,1.6,14.4,SAC,4.0,0.9,0.3,52.42023008465379,1627741.0
409,Buddy Hield,SG,28,"6' 4""",0.447,0.362,4.8,2.4,18.2,IND,5.1000000000000005,1.0,0.4,66.60516605166052,1627741.0
410,Richaun Holmes,C,27,"6' 10""",0.66,0.4,1.1,1.2,10.4,SAC,7.1,0.4,0.9,60.125895376600816,1626158.0
411,Damian Jones,C,26,"6' 11""",0.658,0.345,1.2,1.1,8.1,SAC,4.4,0.5,0.8,53.06056001736488,1627745.0
412,Louis King,PF,22,"6' 7""",0.319,0.296,0.9,0.0,4.5,SAC,1.2,0.2,0.1,29.140438463208163,
413,Alex Len,C,28,"7' 0""",0.534,0.286,1.2,1.1,6.0,SAC,4.1,0.3,0.6,43.19513783373127,203458.0
414,Chimezie Metu,PF,24,"6' 9""",0.452,0.306,1.0,1.0,8.9,SAC,5.6,0.9,0.5,47.1456479270675,1629002.0
415,Davion Mitchell,PG,23,"6' 2""",0.418,0.316,4.2,1.5,11.5,SAC,2.2,0.7,0.3,51.1395702192316,
416,Neemias Queta,C,22,"7' 0""",0.447,0.0,0.4,0.4,3.2,SAC,2.2,0.1,0.6,23.561970913826784,
417,Jahmi'us Ramsey,SG,20,"6' 3""",0.414,0.278,0.4,0.3,3.2,SAC,0.7,0.1,0.1,28.28304753635772,
418,Tristan Thompson,C,30,"6' 9""",0.528,0.333,0.6,0.8,6.0,TOT,5.0,0.4,0.4,43.87887996527024,202684.0
419,Tristan Thompson,C,30,"6' 9""",0.503,1.0,0.6,1.0,6.2,SAC,5.4,0.4,0.4,65.43303668330802,202684.0
